iter	Passed	Remaining
0	66	33196
1	76	19102
2	87	14425
3	97	12123
4	107	10633
5	117	9642
6	126	8938
7	136	8400
8	146	7987
9	155	7629
10	165	7342
11	174	7109
12	184	6900
13	193	6723
14	203	6570
15	212	6430
16	221	6302
17	231	6194
18	240	6094
19	249	5999
20	259	5911
21	268	5834
22	277	5763
23	287	5704
24	296	5642
25	306	5588
26	315	5530
27	325	5484
28	334	5435
29	343	5386
30	354	5363
31	363	5318
32	373	5280
33	382	5246
34	392	5210
35	401	5179
36	411	5152
37	424	5167
38	435	5145
39	444	5116
40	454	5086
41	463	5056
42	473	5030
43	483	5007
44	492	4980
45	502	4954
46	511	4928
47	520	4904
48	530	4881
49	539	4858
50	549	4833
51	558	4810
52	567	4786
53	576	4764
54	586	4742
55	595	4723
56	604	4701
57	614	4680
58	623	4657
59	632	4636
60	641	4616
61	651	4599
62	660	4581
63	669	4561
64	679	4544
65	688	4527
66	697	4510
67	707	4492
68	716	4474
69	725	4459
70	735	4444
71	744	4427
72	754	4412
73	763	4396
74	773	4381
75	782	4366
76	792	4350
77	801	4334
78	810	4320
79	820	4306
80	829	4293
81	839	4279
82	848	4264
83	858	4250
84	867	4236
85	877	4222
86	886	4208
87	896	4195
88	907	4189
89	917	4178
90	927	4167
91	938	4161
92	948	4151
93	958	4137
94	967	4124
95	976	4111
96	986	4097
97	995	4084
98	1004	4070
99	1014	4059
100	1024	4046
101	1033	4032
102	1043	4020
103	1052	4007
104	1062	3996
105	1071	3983
106	1081	3970
107	1090	3958
108	1101	3952
109	1113	3948
110	1125	3945
111	1137	3942
112	1149	3937
113	1161	3932
114	1172	3926
115	1187	3930
116	1196	3917
117	1206	3905
118	1215	3892
119	1225	3880
120	1235	3868
121	1244	3855
122	1254	3843
123	1263	3832
124	1273	3820
125	1282	3807
126	1292	3795
127	1302	3784
128	1311	3773
129	1321	3761
130	1331	3749
131	1340	3737
132	1350	3726
133	1359	3714
134	1369	3702
135	1378	3690
136	1387	3677
137	1397	3666
138	1408	3658
139	1418	3646
140	1427	3635
141	1437	3623
142	1446	3611
143	1456	3601
144	1466	3591
145	1476	3579
146	1485	3567
147	1495	3555
148	1504	3544
149	1514	3533
150	1525	3526
151	1535	3515
152	1545	3504
153	1554	3493
154	1564	3481
155	1573	3470
156	1582	3458
157	1592	3446
158	1601	3435
159	1611	3424
160	1621	3413
161	1630	3402
162	1640	3392
163	1649	3379
164	1659	3368
165	1668	3357
166	1678	3346
167	1687	3335
168	1697	3324
169	1707	3315
170	1717	3304
171	1726	3292
172	1736	3281
173	1745	3271
174	1755	3260
175	1765	3249
176	1774	3238
177	1783	3227
178	1793	3215
179	1803	3205
180	1812	3194
181	1821	3183
182	1831	3172
183	1840	3161
184	1850	3150
185	1859	3139
186	1869	3128
187	1878	3118
188	1888	3107
189	1898	3096
190	1907	3086
191	1917	3075
192	1926	3064
193	1936	3054
194	1945	3043
195	1954	3032
196	1964	3021
197	1974	3010
198	1983	3000
199	1993	2989
200	2002	2979
201	2011	2968
202	2021	2957
203	2030	2946
204	2040	2936
205	2049	2925
206	2059	2915
207	2069	2904
208	2078	2894
209	2088	2883
210	2097	2873
211	2107	2862
212	2116	2852
213	2126	2841
214	2135	2831
215	2145	2820
216	2154	2810
217	2164	2799
218	2173	2788
219	2182	2778
220	2192	2767
221	2201	2756
222	2211	2746
223	2220	2736
224	2230	2725
225	2239	2715
226	2249	2704
227	2258	2694
228	2268	2684
229	2277	2673
230	2287	2663
231	2297	2653
232	2307	2643
233	2317	2634
234	2327	2624
235	2337	2614
236	2347	2605
237	2357	2595
238	2367	2585
239	2376	2574
240	2386	2564
241	2395	2553
242	2404	2542
243	2413	2532
244	2422	2521
245	2432	2511
246	2441	2501
247	2451	2490
248	2461	2480
249	2470	2470
250	2479	2459
251	2489	2449
252	2498	2439
253	2508	2429
254	2517	2419
255	2527	2409
256	2537	2398
257	2546	2388
258	2556	2379
259	2566	2368
260	2575	2358
261	2584	2347
262	2593	2337
263	2603	2327
264	2612	2316
265	2622	2306
266	2632	2296
267	2641	2286
268	2651	2276
269	2660	2266
270	2670	2256
271	2679	2246
272	2689	2236
273	2698	2225
274	2707	2215
275	2717	2205
276	2726	2195
277	2736	2184
278	2745	2174
279	2754	2164
280	2764	2154
281	2773	2144
282	2782	2133
283	2792	2123
284	2801	2113
285	2811	2103
286	2820	2093
287	2830	2083
288	2839	2073
289	2849	2063
290	2859	2053
291	2868	2043
292	2877	2033
293	2887	2023
294	2898	2014
295	2909	2004
296	2919	1995
297	2930	1986
298	2940	1976
299	2951	1967
300	2961	1957
301	2971	1947
302	2980	1937
303	2990	1927
304	2999	1917
305	3009	1907
306	3019	1898
307	3028	1887
308	3038	1878
309	3047	1867
310	3057	1857
311	3066	1847
312	3076	1837
313	3085	1827
314	3095	1817
315	3104	1807
316	3113	1797
317	3123	1787
318	3132	1777
319	3142	1767
320	3151	1757
321	3161	1747
322	3170	1737
323	3180	1727
324	3189	1717
325	3199	1707
326	3208	1697
327	3218	1687
328	3227	1677
329	3236	1667
330	3246	1657
331	3255	1647
332	3265	1637
333	3274	1627
334	3284	1617
335	3293	1607
336	3302	1597
337	3312	1587
338	3321	1577
339	3330	1567
340	3340	1557
341	3350	1547
342	3359	1537
343	3369	1528
344	3379	1518
345	3388	1508
346	3397	1498
347	3407	1488
348	3416	1478
349	3426	1468
350	3435	1458
351	3444	1448
352	3454	1438
353	3464	1428
354	3473	1418
355	3483	1408
356	3492	1398
357	3502	1389
358	3511	1379
359	3521	1369
360	3530	1359
361	3540	1349
362	3549	1339
363	3559	1329
364	3569	1320
365	3579	1310
366	3589	1300
367	3598	1290
368	3608	1280
369	3617	1271
370	3626	1261
371	3636	1251
372	3646	1241
373	3656	1232
374	3666	1222
375	3675	1212
376	3685	1202
377	3694	1192
378	3703	1182
379	3713	1172
380	3722	1162
381	3731	1152
382	3741	1142
383	3751	1133
384	3760	1123
385	3769	1113
386	3779	1103
387	3788	1093
388	3797	1083
389	3806	1073
390	3816	1063
391	3825	1053
392	3834	1044
393	3843	1034
394	3853	1024
395	3862	1014
396	3871	1004
397	3881	994
398	3890	984
399	3900	975
400	3909	965
401	3918	955
402	3928	945
403	3937	935
404	3946	925
405	3956	916
406	3966	906
407	3976	896
408	3986	886
409	3995	877
410	4005	867
411	4014	857
412	4023	847
413	4034	838
414	4043	828
415	4053	818
416	4062	808
417	4071	798
418	4081	788
419	4090	779
420	4099	769
421	4108	759
422	4118	749
423	4127	739
424	4137	730
425	4146	720
426	4155	710
427	4165	700
428	4175	691
429	4184	681
430	4194	671
431	4203	661
432	4212	651
433	4221	642
434	4231	632
435	4241	622
436	4250	612
437	4260	603
438	4269	593
439	4279	583
440	4288	573
441	4297	563
442	4307	554
443	4316	544
444	4326	534
445	4335	524
446	4344	515
447	4354	505
448	4364	495
449	4374	486
450	4383	476
451	4393	466
452	4402	456
453	4412	447
454	4421	437
455	4430	427
456	4440	417
457	4449	408
458	4459	398
459	4468	388
460	4478	378
461	4487	369
462	4496	359
463	4506	349
464	4515	339
465	4525	330
466	4534	320
467	4544	310
468	4553	301
469	4563	291
470	4573	281
471	4583	271
472	4592	262
473	4602	252
474	4611	242
475	4620	232
476	4630	223
477	4640	213
478	4649	203
479	4658	194
480	4668	184
481	4677	174
482	4687	164
483	4696	155
484	4706	145
485	4715	135
486	4725	126
487	4735	116
488	4744	106
489	4753	97
490	4763	87
491	4773	77
492	4782	67
493	4792	58
494	4802	48
495	4811	38
496	4820	29
497	4829	19
498	4839	9
499	4848	0
